ID,Name,Type,X,Y,Width,Height,Section Link,Direct Link
0:0,"Document",document,0,0,0,0,"https://www.figma.com/design/aAlM1pXOIlBOHPL0yelXUb?node-id=0%3A0","https://www.figma.com/design/aAlM1pXOIlBOHPL0yelXUb?node-id=0%3A0&mode=design"
0:1,"Page 1",canvas,0,0,0,0,"https://www.figma.com/design/aAlM1pXOIlBOHPL0yelXUb?node-id=0%3A1","https://www.figma.com/design/aAlM1pXOIlBOHPL0yelXUb?node-id=0%3A1&mode=design"
2:2454,"Page 2",canvas,0,0,0,0,"https://www.figma.com/design/aAlM1pXOIlBOHPL0yelXUb?node-id=2%3A2454","https://www.figma.com/design/aAlM1pXOIlBOHPL0yelXUb?node-id=2%3A2454&mode=design"
2:3465,"AI리포트 > BID Report > Brand Identity",frame,12570,296,1920,1633,"https://www.figma.com/design/aAlM1pXOIlBOHPL0yelXUb?node-id=2%3A3465","https://www.figma.com/design/aAlM1pXOIlBOHPL0yelXUb?node-id=2%3A3465&mode=design"
2:3466,"GNB",instance,12570,296,1920,90,"https://www.figma.com/design/aAlM1pXOIlBOHPL0yelXUb?node-id=2%3A3466","https://www.figma.com/design/aAlM1pXOIlBOHPL0yelXUb?node-id=2%3A3466&mode=design"
I2:3466;40:10771,"Frame 317",frame,12590,326,617,30,"https://www.figma.com/design/aAlM1pXOIlBOHPL0yelXUb?node-id=I2%3A3466;40:10771","https://www.figma.com/design/aAlM1pXOIlBOHPL0yelXUb?node-id=I2%3A3466;40:10771&mode=design"
I2:3466;5:2025,"Logo",instance,12590,326,192,30,"https://www.figma.com/design/aAlM1pXOIlBOHPL0yelXUb?node-id=I2%3A3466;5:2025","https://www.figma.com/design/aAlM1pXOIlBOHPL0yelXUb?node-id=I2%3A3466;5:2025&mode=design"
I2:3466;5:2025;5:1634,"logo-black-horizontal",rectangle,12590,326,192,30,"https://www.figma.com/design/aAlM1pXOIlBOHPL0yelXUb?node-id=I2%3A3466;5:2025;5:1634","https://www.figma.com/design/aAlM1pXOIlBOHPL0yelXUb?node-id=I2%3A3466;5:2025;5:1634&mode=design"
I2:3466;5:2127,"Frame 270",frame,12882,329,325,24,"https://www.figma.com/design/aAlM1pXOIlBOHPL0yelXUb?node-id=I2%3A3466;5:2127","https://www.figma.com/design/aAlM1pXOIlBOHPL0yelXUb?node-id=I2%3A3466;5:2127&mode=design"
I2:3466;5:2123,"AI리포트",text,12882,329,75,24,"https://www.figma.com/design/aAlM1pXOIlBOHPL0yelXUb?node-id=I2%3A3466;5:2123","https://www.figma.com/design/aAlM1pXOIlBOHPL0yelXUb?node-id=I2%3A3466;5:2123&mode=design"
I2:3466;5:2125,"AI디자인",text,13007,329,75,24,"https://www.figma.com/design/aAlM1pXOIlBOHPL0yelXUb?node-id=I2%3A3466;5:2125","https://www.figma.com/design/aAlM1pXOIlBOHPL0yelXUb?node-id=I2%3A3466;5:2125&mode=design"
I2:3466;5:2126,"AI마케팅",text,13132,329,75,24,"https://www.figma.com/design/aAlM1pXOIlBOHPL0yelXUb?node-id=I2%3A3466;5:2126","https://www.figma.com/design/aAlM1pXOIlBOHPL0yelXUb?node-id=I2%3A3466;5:2126&mode=design"
I2:3466;40:11213,"Frame 318",frame,13714,316,756,50,"https://www.figma.com/design/aAlM1pXOIlBOHPL0yelXUb?node-id=I2%3A3466;40:11213","https://www.figma.com/design/aAlM1pXOIlBOHPL0yelXUb?node-id=I2%3A3466;40:11213&mode=design"
I2:3466;62:38419,"Frame 406",frame,13714,316,223,50,"https://www.figma.com/design/aAlM1pXOIlBOHPL0yelXUb?node-id=I2%3A3466;62:38419","https://www.figma.com/design/aAlM1pXOIlBOHPL0yelXUb?node-id=I2%3A3466;62:38419&mode=design"
I2:3466;10:1167,"유동적 버튼",instance,13714,316,110,50,"https://www.figma.com/design/aAlM1pXOIlBOHPL0yelXUb?node-id=I2%3A3466;10:1167","https://www.figma.com/design/aAlM1pXOIlBOHPL0yelXUb?node-id=I2%3A3466;10:1167&mode=design"
I2:3466;10:1167;5:2205,"Icon",instance,13744,329,24,24,"https://www.figma.com/design/aAlM1pXOIlBOHPL0yelXUb?node-id=I2%3A3466;10:1167;5:2205","https://www.figma.com/design/aAlM1pXOIlBOHPL0yelXUb?node-id=I2%3A3466;10:1167;5:2205&mode=design"
I2:3466;10:1167;5:2205;4:2976,"Vector",vector,13746,345,20,7,"https://www.figma.com/design/aAlM1pXOIlBOHPL0yelXUb?node-id=I2%3A3466;10:1167;5:2205;4:2976","https://www.figma.com/design/aAlM1pXOIlBOHPL0yelXUb?node-id=I2%3A3466;10:1167;5:2205;4:2976&mode=design"
I2:3466;10:1167;5:2205;4:2977,"Vector",vector,13751,330,10,10,"https://www.figma.com/design/aAlM1pXOIlBOHPL0yelXUb?node-id=I2%3A3466;10:1167;5:2205;4:2977","https://www.figma.com/design/aAlM1pXOIlBOHPL0yelXUb?node-id=I2%3A3466;10:1167;5:2205;4:2977&mode=design"
I2:3466;10:1167;5:2206,"contact",text,13717,330,104,22,"https://www.figma.com/design/aAlM1pXOIlBOHPL0yelXUb?node-id=I2%3A3466;10:1167;5:2206","https://www.figma.com/design/aAlM1pXOIlBOHPL0yelXUb?node-id=I2%3A3466;10:1167;5:2206&mode=design"
I2:3466;62:37767,"유동적 버튼",instance,13844,316,93,50,"https://www.figma.com/design/aAlM1pXOIlBOHPL0yelXUb?node-id=I2%3A3466;62:37767","https://www.figma.com/design/aAlM1pXOIlBOHPL0yelXUb?node-id=I2%3A3466;62:37767&mode=design"
I2:3466;62:37767;5:2205,"Icon",instance,13874,329,24,24,"https://www.figma.com/design/aAlM1pXOIlBOHPL0yelXUb?node-id=I2%3A3466;62:37767;5:2205","https://www.figma.com/design/aAlM1pXOIlBOHPL0yelXUb?node-id=I2%3A3466;62:37767;5:2205&mode=design"
I2:3466;62:37767;5:2205;4:2976,"Vector",vector,13876,345,20,7,"https://www.figma.com/design/aAlM1pXOIlBOHPL0yelXUb?node-id=I2%3A3466;62:37767;5:2205;4:2976","https://www.figma.com/design/aAlM1pXOIlBOHPL0yelXUb?node-id=I2%3A3466;62:37767;5:2205;4:2976&mode=design"
I2:3466;62:37767;5:2205;4:2977,"Vector",vector,13881,330,10,10,"https://www.figma.com/design/aAlM1pXOIlBOHPL0yelXUb?node-id=I2%3A3466;62:37767;5:2205;4:2977","https://www.figma.com/design/aAlM1pXOIlBOHPL0yelXUb?node-id=I2%3A3466;62:37767;5:2205;4:2977&mode=design"
I2:3466;62:37767;5:2206,"contact",text,13847,330,87,22,"https://www.figma.com/design/aAlM1pXOIlBOHPL0yelXUb?node-id=I2%3A3466;62:37767;5:2206","https://www.figma.com/design/aAlM1pXOIlBOHPL0yelXUb?node-id=I2%3A3466;62:37767;5:2206&mode=design"
I2:3466;62:38820,"Frame 407",frame,13967,316,503,50,"https://www.figma.com/design/aAlM1pXOIlBOHPL0yelXUb?node-id=I2%3A3466;62:38820","https://www.figma.com/design/aAlM1pXOIlBOHPL0yelXUb?node-id=I2%3A3466;62:38820&mode=design"
I2:3466;62:39636,"유동적 버튼",frame,13967,316,151,50,"https://www.figma.com/design/aAlM1pXOIlBOHPL0yelXUb?node-id=I2%3A3466;62:39636","https://www.figma.com/design/aAlM1pXOIlBOHPL0yelXUb?node-id=I2%3A3466;62:39636&mode=design"
I2:3466;62:39637,"Icon",instance,13988.5,330,22,22,"https://www.figma.com/design/aAlM1pXOIlBOHPL0yelXUb?node-id=I2%3A3466;62:39637","https://www.figma.com/design/aAlM1pXOIlBOHPL0yelXUb?node-id=I2%3A3466;62:39637&mode=design"
I2:3466;62:39637;4:2976,"Vector",vector,13990.3330078125,344.6666564941406,18.333332061767578,6.4166669845581055,"https://www.figma.com/design/aAlM1pXOIlBOHPL0yelXUb?node-id=I2%3A3466;62:39637;4:2976","https://www.figma.com/design/aAlM1pXOIlBOHPL0yelXUb?node-id=I2%3A3466;62:39637;4:2976&mode=design"
